Adrresse,Prix,Ville,Region,Chambres,Salles de bain,Salles d'eau,Etages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
chemin des Chatons,"0,25 $",Lantier,Laurentides,,,,,,"3,700,000 ",,,,
chemin Lamoureux,"0,25 $",Ste-Julienne,Lanaudière,,,,,,"1,429,232.03 ",,,,
route de la Normandie,"0,25 $",Montmagny,Chaudière-Appalaches,,,,,,"34,000 ","400,00 $",,,
chemin Keenan,"0,48 $",Melbourne,Estrie,,,,,,"3,280,068 ",,,,
route de la Traverse,"0,64 $",Lac-Aux-Sables,Mauricie,,,,,,150 500 ,,,,
montée Tessier,"0,75 $",Lac-Des-Ecorces,Laurentides,,,,,,"119,587 ","448,00 $","22,00 $",,
"307, rue du Condor","0,85 $",St-Calixte,Lanaudière,,,,,,"74,000 ",,,,
rue du Domaine,1 $,Lamarche,Saguenay-Lac-Saint-Jean,,,,,,"23,000 ",,,,
chemin de la Belle-Montagne - Domaine Gadoury,1 $,St-Jean-De-Matha,Lanaudière,,,,,,"40,000 ",,,,
"2479, chemin Bellerive",1 $,Carignan,Montérégie (Rive-Sud Montréal),3,1,,1,700 ,10 375 ,"1 194,86 $","138,60 $",,
rue de la Tourbière,1 $,Ste-Catherine-de-la-JC,Québec Rive-Nord,,,,,,"10,500 ",,,,
"1655, rue Rathier",1 $,Trois-Rivières (Trois-Rivières),Mauricie,3,2,,2,"2,750 ","14,412 ","7 670,00 $","350,00 $","3 576,00 $","800,00 $"
"548, Chemin de Desserte N",1 $,Villeroy,Centre-du-Québec,,,,,,"500,000 ",,,,
", chemin de L'île Grandbois","1,20 $",St-Casimir,Portneuf,,,,,,"667,362.45 ","141,12 $",,,
rue de Jouvence,"1,35 $",Eastman,Estrie,,,,,,"751,515 ",,,,
rue Honoré,"1,50 $",St-Honore-De-Chicoutimi,Saguenay-Lac-Saint-Jean,,,,,,"35,000 ",,,,
"3848, rue Principale","1,50 $",Dunham,Estrie,,,,,,"933,038 ",,,,
chemin des Petites-Terres,2 $,Trois-Rivières (Trois-Rivières),Mauricie,,,,,,"319,865.74 ",,,,
Montée 305,"2,25 $",Montmagny,Chaudière-Appalaches,,,,,,,,,,
"5, Gérard-Fontaine","2,50 $",Val-Alain,Chaudière-Appalaches,,,,,,"1,600,050,000 ",,,,
"895, route du Lac Ouest","2,50 $",Alma,Saguenay-Lac-Saint-Jean,,,,,,"2,000,000 ",,,,
L'arrondissement du boisé,"2,85 $",Ste-Agathe-de-Lotbinière,Chaudière-Appalaches,,,,,,,,,,
rue Savard,3 $,Desbiens,Saguenay-Lac-Saint-Jean,,,,,,"8,000 ",,,,
", boulevard Sainte-Anne",3 $,Rimouski (Pointe-Au-Père),Bas-Saint-Laurent,,,,,,"42,225.74 ","1 300,47 $","44,15 $",,
", boulevard Sainte-Anne",3 $,Rimouski (Pointe-Au-Père),Bas-Saint-Laurent,,,,,,"62,034.57 ","1 553,18 $","57,88 $",,
rue Christophe Colomb,"3,25 $",Black Lake,Chaudière-Appalaches,,,,,,,,,,
", rue des Anthuriums","3,92 $",Ste-Catherine-De-Hatley,Estrie,,,,,,98 328 ,"259,94 $",,,
rang des Pointes,4 $,St-Flavien,Chaudière-Appalaches,,,,,,465x196 ,,,,
", rue Laurier","4,15 $",St-Apollinaire,Chaudière-Appalaches,,,,,,"647,718 ",,,,
", côte des Pionniers","4,30 $",Beaumont,Chaudière-Appalaches,,,,,,"30,769.71 ",,,,
rue Bélanger,"4,50 $",Beaupré,Québec Rive-Nord,,,,,,"530x1,320 ",,,,
"940, Chemin des Falaises","4,50 $",La Malbaie,Charlevoix,,,,,,"300,000 ",,,,
route Marie-Victorin,"4,55 $",St-Antoine-De-Tilly,Chaudière-Appalaches,,,,,,"120,000 ","1 170,00 $",,,
croissant de la Falaise,6 $,Val-David,Laurentides,,,,,,"25,779.56 ","687,72 $","122,51 $",,
"167, montée Richard","6,10 $",St-Bernard-De-Lacolle,Montérégie (Rive-Sud Montréal),,,,,,"57,600 ",,,,
"8501, rue Samuel Hatt","6,25 $",Chambly,Montérégie (Rive-Sud Montréal),,,,,,"127,736 ",,,,
rue Dorimène-Desjardins,"7,55 $",St-Anselme,Chaudière-Appalaches,,,,,,"18,000 ",,,,
avenue des Capucines,"8,15 $",Bécancour (Ste-Angèle),Centre-du-Québec,,,,,,"10,000 ",,,,
"6595, chemin de Saint-Élie","8,50 $",Sherbrooke (St-Élie-d'Orford),Estrie,,,,,,"200,000 ",,,,
rue des Géraniums,"8,75 $",Bécancour (Ste-Angèle),Centre-du-Québec,,,,,,"10,000 ",,,,
"401, montée Morel","9,99 $",Ste-Anne-Des-Plaines,Laurentides,,,,,,"32,719 ",,,,
"7320, boulevard Jean-XXIII",10 $,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,,,,,,"100,000 ",,,,
rue Charbonneau,11 $,Trois-Rivières (Trois-Rivières-Ouest),Mauricie,,,,,,,,,,
"211, rue Saint-Jean",11 $,Lachute,Laurentides,,,,,,"153,000 ",,,,
boulevard Bourque Magog,"12,75 $",Magog,Estrie,,,,,,"104,000 ","7 198,00 $",,,
rue Jolin,"13,50 $",St-Henri-de-Lévis,Chaudière-Appalaches,,,,,,,,,,
place Alary,32 $,St-Sauveur,Laurentides,,,,,,"170,527 ","8 043,50 $","979,49 $",,
"1673973, boulevard de la Cité-des-Jeunes",50 $,Vaudreuil-Dorion,Montérégie Ouest,,,,,,"31,610 ",,,,
Route 362,100 $,La Malbaie,Charlevoix,,,,,,"1,894,429.94 ",,,,
chemin du Sommet,995 $,Bowman,Outaouais,,,,,,40 000 ,,,,
chemin Blanchette,1 234 $,Lac-Bouchette,Saguenay-Lac-Saint-Jean,,,,,,"40,000 ",,,,
", rue Bayard",12 000 $,Auteuil,Laval,,,,,,"5,392.72 ",,,,
Terrains forestiers,12 000 $,St-Rene-De-Matane,Bas-Saint-Laurent,,,,,,,,,,
"404, route 132 E",13 000 $,Lac-Au-Saumon,Bas-Saint-Laurent,,,,,,223x160 ,"126,46 $",,,
"995, Route 195 Nord",14 800 $,St-Vianney,Gaspésie-Îles-de-la-Madeleine,,,,,,"55,189.79 ","118,16 $",,,
rue Principale Est,16 200 $,St-Medard,Bas-Saint-Laurent,,,,,,147.64x196.85 ,,,,
route 117,19 000 $,Ivry-Sur-Le-Lac,Laurentides,,,,,,"20,000 ","41,41 $",,,
Développement des Oiseaux,20 000 $,L'Islet,Chaudière-Appalaches,,,,,,"6,500 ","819,00 $",,,
"345, rue Monseigneur-O'Bready",20 000 $,Wotton,Estrie,,,,,,8 450 ,"59,63 $",,,
rue Gagnon,22 000 $,St-Evariste-De-Forsyth,Chaudière-Appalaches,,,,,,"40,000 ","270,00 $",,,
rue des Champs,23 904 $,St-Hilarion,Charlevoix,,,,,,,,,,
Croissant Émilie,24 000 $,Ste-Lucie-Des-Laurentides,Laurentides,,,,,,"10,290.30 ",,,,
"X, chemin de la Rivière des Cèdres",24 500 $,Portneuf-sur-mer,Côte-Nord,1,1,,1,330 ,"43,000 ","127,00 $","75,00 $",,
"225, route 132",25 000 $,Nouvelle,Gaspésie-Îles-de-la-Madeleine,,,,,,"103,075.21 ",,,,
"185, route Wafer",25 000 $,Nouvelle,Gaspésie-Îles-de-la-Madeleine,,,,,,"51,300 ",,,,
rue Desroches,25 000 $,Paspebiac,Gaspésie-Îles-de-la-Madeleine,,,,,,"8,006.20 ","503,05 $",,,
rue Audet,25 000 $,Lac-Mégantic,Estrie,,,,,,,,,,
"101, Boulevard Père Brousseau",25 200 $,St-Damien-De-Buckland,Chaudière-Appalaches,,,,,,,,,,
rues du Fort et de la Garnision,28 000 $,Témiscouata-sur-le-Lac,Bas-Saint-Laurent,,,,,,"8,000 ",,,,
", 10e Avenue Nord",29 800 $,St-Gedeon-De-Beauce,Chaudière-Appalaches,,,,,,"10,000 ","218,53 $","42,00 $",,
Domaine Grande-Vallée,30 000 $,Chertsey,Lanaudière,,,,,,"33,000 ",,,,
rue Desrosiers,30 000 $,Matane,Bas-Saint-Laurent,,,,,,"8,026.91 ","646,66 $","132,00 $",,
"245, rue Principale",30 000 $,St-Victor,Chaudière-Appalaches,,,,,,"8,000 ",,,,
chemin du Lac Boileau Ouest,31 500 $,Rivière-Rouge,Laurentides,,,,,,"43,000 ",,,,
rue de Normandie,32 000 $,Grande-Riviere,Gaspésie-Îles-de-la-Madeleine,,,,,,94.98x90.06 ,"134,65 $",,,
route 155,32 000 $,Grandes-Piles,Mauricie,,,,,,150x300 ,,,,
"335, rue Principale",32 000 $,St-Adelme,Bas-Saint-Laurent,,,,,,"200,105 ","87,56 $",,,
"1472, 22e Rue",32 500 $,St-Côme-Linière,Chaudière-Appalaches,,,,,,"10,000 ","227,66 $",,,
rue Catalan,32 800 $,Moisie,Côte-Nord,,,,,,"7,622 ",,,,
chemin du Quai,34 500 $,Jonquière (Lac-Kénogami),Saguenay-Lac-Saint-Jean,,,,,,"43,000 ",,,,
"X, chemin des Érables",34 750 $,Wentworth,Laurentides,,,,,,20 801.26 ,,,,
"5, avenue Delisle",35 000 $,Rivière-à-Pierre,Portneuf,,,,,,"65,000 ",,,,
"95, rue des Belles-Feuilles",35 000 $,Grande-Riviere,Gaspésie-Îles-de-la-Madeleine,,,,,,75x139 ,,,,
"134, chemin Desormeaux",35 000 $,Trécesson,Abitibi-Témiscamingue,,,,,,"155,325 ","606,33 $","134,33 $",,
Développement Chute à la Savane,35 000 $,Ste-Monique,Saguenay-Lac-Saint-Jean,,,,,,,,,,
"20, chemin Baird",35 000 $,Bristol,Outaouais,,,,,,"43,560.00 ",,,,
Route 132 Ouest,35 000 $,Ristigouche-Partie-Sud-Est,Gaspésie-Îles-de-la-Madeleine,,,,,,"87,120.00 ",,,,
Chemin Napoléon-Guy,35 000 $,Lac-Des-Ecorces,Laurentides,,,,,,,,,,
"1164, route Henderson",35 000 $,St-Malachie,Chaudière-Appalaches,,,,,,"30,138.95 ","333,32 $",,,
"1164, route Henderson",35 000 $,St-Malachie,Chaudière-Appalaches,,,,,,"30,138.95 ","333,32 $",,,
Domaine du Lac Beaudoin,35 000 $,Ste-Émélie-De-L'Énergie,Lanaudière,,,,,,"43,000 ",,,,
Rang Saint-Elzéar,35 000 $,St-Tite-Des-Caps,Québec Rive-Nord,,,,,,,,,,
Les Boisés de L'Apéro,35 000 $,Ste-Christine-D'Auvergne,Portneuf,,,,,,"33,000 ",,,,
"171, rue Labrecque",35 000 $,St-Malachie,Chaudière-Appalaches,,,,,,65x88 ,"177,76 $",,,
rue Water,35 000 $,Lachute,Laurentides,,,,,,5 200 ,,,,
"132, Route 132",35 000 $,St-Moise,Bas-Saint-Laurent,,,,,,"49,273.95 ",,,,
", chemin Mont Catherine",35 500 $,Ste-Agathe-Des-Monts,Laurentides,,,,,,"53,000 ","502,00 $","227,00 $",,
route de la Traverse,36 800 $,Lac-Aux-Sables,Mauricie,,,,,,57 300 ,,,,
rue de l'Escale,37 500 $,Gaspé,Gaspésie-Îles-de-la-Madeleine,,,,,,"16,300 ",,,,
chemin Beaulieu,37 500 $,St-Damien,Lanaudière,,,,,,"50,719.55 ","166,81 $",,,
"10, rue de Quen",39 000 $,Saint-Gédéon,Saguenay-Lac-Saint-Jean,,,,,,"114,205.09 ","450,00 $","130,00 $",,
"30, route du Lac",39 000 $,Lac-Frontiere,Chaudière-Appalaches,,,,,,"60,000 ",,,,
chemin de Vinoy,39 000 $,Ripon,Outaouais,,,,,,150x200 ,,,,
Au Pied du Mont-Ham,39 000 $,St-Joseph-De-Ham-Sud,Estrie,,,,,,"43,055.64 ",,,,
rue des Daviault,39 000 $,Mont-Laurier,Laurentides,,,,,,,,,,
"625, rue du Lac-Sartigan",39 370 $,St-Alfred,Chaudière-Appalaches,,,,,,"39,370 ",,,,
", rang Saint-Hilaire Sud",39 500 $,St-Magloire-De-Bellechasse,Chaudière-Appalaches,,,,,,"90,500 ",,,,
rue de la Fabrique,39 900 $,Grande-Vallee,Gaspésie-Îles-de-la-Madeleine,,,,,,"49,543 ",,,,
rue Boileau,39 950 $,Rivière-Rouge,Laurentides,,,,,,"9,504.53 ",,,,
"2212, chemin du Portage des Roches-Sud",40 000 $,Chicoutimi (Laterrière),Saguenay-Lac-Saint-Jean,,,,,,"18,277.12 ","389,00 $","110,00 $",,
"338, rue Poulin",40 000 $,St-Victor,Chaudière-Appalaches,,,,,,100x100 ,,,,
"21, rang Saint-Jérôme",40 000 $,St-Urbain,Charlevoix,,,,,,"45,113.70 ",,,,
avenue Paul-Henri,40 000 $,Montmagny,Chaudière-Appalaches,,,,,,,,,,
Les Berges Milieu Accessible - Par Gestion Fauvel,41 300 $,Ste-Clotilde-De-Horton,Centre-du-Québec,,,,,,"16,500 ",,,,
rang Ste-Anne,41 500 $,La Malbaie (St-Fidèle),Charlevoix,,,,,,,,,,
chemin Boréal - Domaine Boréal,42 000 $,St-Alphonse-Rodriguez,Lanaudière,,,,,,,,,,
chemin Saint-Joseph,42 000 $,Trois-Rives,Mauricie,,,,,,58 000 ,"92,45 $",,,
"3418, chemin de la Dame",44 000 $,Ste-Julienne,Lanaudière,,,,,,"6,541 ",,,,
rue J.-O. Veilleux et du Foyer,44 900 $,St-Raphael,Chaudière-Appalaches,,,,,,"4,000 ",,,,
"1, rue Oriole",44 995 $,Chertsey,Lanaudière,,,,,,"50,000 ","241,00 $","50,00 $",,
St-Joseph de Mékinac,45 000 $,MRC de Mékinac,Mauricie,,,,,,,,,,
chemin Saint-Hilaire,45 000 $,Grande-Riviere,Gaspésie-Îles-de-la-Madeleine,,,,,,200x500 ,,,,
"3, rue Bellevue",45 000 $,St-Joachim,Québec Rive-Nord,,,,,,"33,000 ","306,00 $",,,
"740, route 138 - Domaine de la Rivière Fortin",45 000 $,St-Tite-Des-Caps,Québec Rive-Nord,,,,,,48 437.60 ,,,,
"83, chemin Périard",45 000 $,Ripon,Outaouais,,,,,,"30,000 ",,,,
rue Lassonde,45 000 $,Ste-Anne-Du-Lac,Laurentides,,,,,,"59,000 ",,,,
"37, route Abénakis",46 000 $,Ste-Claire,Chaudière-Appalaches,,,,,,"24,725 ","303,20 $","14,39 $",,
5 terrains Lac-St-Paul,46 000 $,Lac-St-Paul,Laurentides,,,,,,"133,500 ",,,,
"315, chemin des Rives du Cerf",48 995 $,Lac-Aux-Sables,Mauricie,,,,,,"57,000 ",,,,
"180, rue Clément",49 000 $,Durham-Sud,Centre-du-Québec,,,,,,"16,000 ",,,,
"760, rue Saint-Olivier",49 500 $,St-Jean-Baptiste,Québec Rive-Nord,,,,,,"1,490 ","2 764,00 $","160,00 $",,
