id_film,titre_film,duree,genres_liste,date_sortie,utilisateur_note,nbre_utilisateur_note
['1825683'],Black Panther,134 min,"Action, Adventure, Sci-Fi            ",(2018),7.3,"762,887"
['1477834'],Aquaman,143 min,"Action, Adventure, Fantasy            ",(2018),6.8,"473,132"
['4154756'],Avengers: Infinity War,149 min,"Action, Adventure, Sci-Fi            ",(2018),8.4,"1,071,259"
['5463162'],Deadpool 2,119 min,"Action, Adventure, Comedy            ",(2018),7.7,"580,007"
['7784604'],Hereditary,127 min,"Drama, Horror, Mystery            ",(2018),7.3,"315,231"
['2709692'],The Grinch,85 min,"Animation, Comedy, Family            ",(2018),6.3,"70,958"
['1034415'],Suspiria,152 min,"Drama, Fantasy, Horror            ", (2018),6.7,"79,216"
['4560436'],Mile 22,94 min,"Action, Thriller            ",(2018),6.1,"80,336"
['4633694'],Spider-Man: Into the Spider-Verse,117 min,"Animation, Action, Adventure            ",(2018),8.4,"523,577"
['6966692'],Green Book,130 min,"Biography, Comedy, Drama            ",(2018),8.2,"488,242"
['1677720'],Ready Player One,140 min,"Action, Adventure, Sci-Fi            ",(2018),7.4,"435,479"
['1270797'],Venom,112 min,"Action, Adventure, Sci-Fi            ",(2018),6.6,"483,919"
['6644200'],A Quiet Place,90 min,"Drama, Horror, Sci-Fi            ",(2018),7.5,"527,237"
['7959500'],The Farm,80 min,Horror            , (2018),3.7,"3,297"
['1727824'],Bohemian Rhapsody,134 min,"Biography, Drama, Music            ",(2018),7.9,"537,159"
['2873282'],Red Sparrow,140 min,"Action, Drama, Thriller            ",(2018),6.6,"187,086"
['2798920'],Annihilation,115 min,"Adventure, Drama, Horror            ", (2018),6.8,"326,729"
['5160938'],Lizzie,105 min,"Biography, Crime, Drama            ",(2018),5.9,"8,138"
['4912910'],Mission: Impossible - Fallout,147 min,"Action, Adventure, Thriller            ",(2018),7.7,"332,765"
['6412452'],The Ballad of Buster Scruggs,133 min,"Comedy, Drama, Musical            ",(2018),7.3,"148,400"
['7282468'],Beoning,148 min,"Drama, Mystery, Thriller            ",(2018),7.5,"65,496"
['2990140'],The Christmas Chronicles,104 min,"Adventure, Comedy, Family            ",(2018),7.0,"72,837"
['1517451'],A Star Is Born,136 min,"Drama, Music, Romance            ",(2018),7.6,"383,633"
['5083738'],The Favourite,119 min,"Biography, Comedy, Drama            ",(2018),7.5,"200,932"
['5691670'],Under the Silver Lake,139 min,"Crime, Drama, Mystery            ",(2018),6.5,"43,407"
['4477536'],Fifty Shades Freed,105 min,"Drama, Romance, Thriller            ",(2018),4.5,"66,678"
['1259528'],Den of Thieves,140 min,"Action, Crime, Drama            ",(2018),7.0,"112,887"
['2704998'],Game Night,100 min,"Action, Adventure, Comedy            ", (2018),6.9,"235,611"
['7040874'],A Simple Favor,117 min,"Comedy, Crime, Mystery            ",(2018),6.8,"150,265"
['6998518'],Mandy,121 min,"Action, Fantasy, Horror            ", (2018),6.5,"80,096"
['5095030'],Ant-Man and the Wasp,118 min,"Action, Adventure, Comedy            ",(2018),7.0,"401,077"
['6533240'],Night Hunter,98 min,"Action, Thriller            ",(2018),5.9,"23,483"
['6628394'],Bad Times at the El Royale,141 min,"Crime, Drama, Mystery            ",(2018),7.1,"151,097"
['2737304'],Bird Box,124 min,"Horror, Mystery, Sci-Fi            ",(2018),6.6,"341,570"
['3829266'],The Predator,107 min,"Action, Adventure, Sci-Fi            ",(2018),5.3,"134,482"
['8359848'],Climax,97 min,"Drama, Horror, Music            ", (2018),6.9,"69,276"
['5164214'],Ocean's Eight,110 min,"Action, Comedy, Crime            ",(2018),6.3,"219,998"
['3778644'],Solo: A Star Wars Story,135 min,"Action, Adventure, Sci-Fi            ",(2018),6.9,"346,671"
['5613484'],Mid90s,85 min,"Comedy, Drama            ",(2018),7.3,"66,125"
['8267604'],Capharnaüm,126 min,Drama            ,(2018),8.4,"89,739"
['4779682'],The Meg,113 min,"Action, Horror, Sci-Fi            ",(2018),5.6,"172,261"
['6266538'],Vice,132 min,"Biography, Comedy, Drama            ", (2018),7.2,"148,264"
['4123430'],Fantastic Beasts: The Crimes of Grindelwald,134 min,"Adventure, Family, Fantasy            ",(2018),6.5,"283,196"
['1226837'],Beautiful Boy,120 min,"Biography, Drama            ", (2018),7.3,"78,055"
['3104988'],Crazy Rich Asians,120 min,"Comedy, Drama, Romance            ",(2018),6.9,"173,159"
['6343314'],Creed II,130 min,"Drama, Sport            ",(2018),7.1,"126,317"
['1502407'],Halloween,106 min,"Crime, Horror, Thriller            ", (2018),6.5,"156,106"
['1365519'],Tomb Raider,119 min,"Action, Adventure, Fantasy            ",(2018),6.3,"215,155"
['5814060'],The Nun,96 min,"Horror, Mystery, Thriller            ",(2018),5.3,"142,027"
['2854926'],Tag,100 min,"Action, Comedy            ", (2018),6.5,"134,725"
['5052474'],Sicario: Day of the Soldado,122 min,"Action, Crime, Drama            ",(2018),7.0,"148,861"
['6679794'],Outlaw King,121 min,"Action, Biography, Drama            ",(2018),6.9,"72,866"
['3766354'],The Equalizer 2,121 min,"Action, Crime, Thriller            ",(2018),6.7,"160,745"
